,song,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
47,montero (call me by your name),lil nas x,0.293,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,0.593,137704.0,0.503,1SC5rEoYDGUK4NfG82494W,0.0,8.0,0.405,-6.725,0.0,0.22,178.781,4.0,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,audio_features,spotify:track:1SC5rEoYDGUK4NfG82494W,0.71
48,bad man (smooth criminal),polo g,0.0124,https://api.spotify.com/v1/audio-analysis/6RfhBNU1FPWTG7VESlfgOl,0.882,106000.0,0.662,6RfhBNU1FPWTG7VESlfgOl,0.0,0.0,0.106,-6.382,1.0,0.242,120.034,4.0,https://api.spotify.com/v1/tracks/6RfhBNU1FPWTG7VESlfgOl,audio_features,spotify:track:6RfhBNU1FPWTG7VESlfgOl,0.57
49,same boat,zac brown band,0.0506,https://api.spotify.com/v1/audio-analysis/2VmccNZz4zFmlcXstY8a2D,0.509,190452.0,0.842,2VmccNZz4zFmlcXstY8a2D,0.0,6.0,0.0856,-5.394,1.0,0.0512,171.901,4.0,https://api.spotify.com/v1/tracks/2VmccNZz4zFmlcXstY8a2D,audio_features,spotify:track:2VmccNZz4zFmlcXstY8a2D,0.664
50,better man (taylor's version) (from the vault),taylor swift,0.214,https://api.spotify.com/v1/audio-analysis/4OmFmE0fzcMG6g0Y8p4eSD,0.473,297013.0,0.579,4OmFmE0fzcMG6g0Y8p4eSD,0.0,4.0,0.0877,-5.824,1.0,0.0384,73.942,4.0,https://api.spotify.com/v1/tracks/4OmFmE0fzcMG6g0Y8p4eSD,audio_features,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.255
51,22 (taylor's version),taylor swift,0.000443,https://api.spotify.com/v1/audio-analysis/3yII7UwgLF6K5zW3xad3MP,0.642,230960.0,0.695,3yII7UwgLF6K5zW3xad3MP,1.02E-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0,https://api.spotify.com/v1/tracks/3yII7UwgLF6K5zW3xad3MP,audio_features,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.642
52,doin' this,luke combs,0.18,https://api.spotify.com/v1/audio-analysis/4GyD3o5hWoyCuYpdlzZlRL,0.593,254181.0,0.552,4GyD3o5hWoyCuYpdlzZlRL,1.71E-05,1.0,0.11,-5.838,1.0,0.028,115.0,4.0,https://api.spotify.com/v1/tracks/4GyD3o5hWoyCuYpdlzZlRL,audio_features,spotify:track:4GyD3o5hWoyCuYpdlzZlRL,0.39
53,treacherous (taylor's version),taylor swift,0.0344,https://api.spotify.com/v1/audio-analysis/3S7HNKPakdwNEBFIVTL6dZ,0.645,242720.0,0.593,3S7HNKPakdwNEBFIVTL6dZ,0.000127,2.0,0.13,-6.506,1.0,0.0288,109.984,4.0,https://api.spotify.com/v1/tracks/3S7HNKPakdwNEBFIVTL6dZ,audio_features,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.299
54,we are never ever getting back together (taylor's version),taylor swift,0.0317,https://api.spotify.com/v1/audio-analysis/5YqltLsjdqFtvqE7Nrysvs,0.567,193147.0,0.686,5YqltLsjdqFtvqE7Nrysvs,1.86E-06,7.0,0.0732,-6.139,1.0,0.175,172.014,4.0,https://api.spotify.com/v1/tracks/5YqltLsjdqFtvqE7Nrysvs,audio_features,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.716
55,no love (with sza),summer walker,0.17,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,0.707,231498.0,0.618,08SB2OtZkaliju77WYEKxk,0.0,1.0,0.293,-5.825,0.0,0.19,133.876,4.0,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,audio_features,spotify:track:08SB2OtZkaliju77WYEKxk,0.517
56,wild side (feat. cardi b),normani,0.0249,https://api.spotify.com/v1/audio-analysis/2vXgyN14LX2zl7JEASw242,0.74,209476.0,0.576,2vXgyN14LX2zl7JEASw242,0.0,6.0,0.104,-6.744,0.0,0.146,110.095,4.0,https://api.spotify.com/v1/tracks/2vXgyN14LX2zl7JEASw242,audio_features,spotify:track:2vXgyN14LX2zl7JEASw242,0.315
