,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster
210,0.0792,0.549,168034.0,0.643,1.21e-05,9.0,0.107,-6.808,1.0,0.0543,174.041,4.0,0.123,7
211,0.629,0.742,146006.0,0.734,0.00314,8.0,0.0834,-5.582,0.0,0.0407,114.952,4.0,0.541,2
212,0.202,0.708,161667.0,0.598,0.0,3.0,0.183,-4.969,0.0,0.0617,144.09,4.0,0.561,8
213,0.0579,0.56,227520.0,0.896,0.0,11.0,0.156,-4.56,0.0,0.425,124.024,5.0,0.376,11
214,0.101,0.685,221203.0,0.717,1.87e-05,0.0,0.266,-6.456,0.0,0.0411,127.963,4.0,0.549,8
215,0.77,0.629,183241.0,0.445,2.92e-06,3.0,0.351,-6.999,1.0,0.0258,94.103,4.0,0.209,6
216,0.0504,0.923,145075.0,0.533,0.0,11.0,0.102,-6.016,0.0,0.262,133.991,4.0,0.587,2
217,0.0963,0.768,170323.0,0.764,1.03e-05,0.0,0.114,-5.82,1.0,0.0295,92.965,4.0,0.472,1
218,0.0814,0.65,145222.0,0.637,0.000607,9.0,0.51,-6.195,1.0,0.0369,140.115,4.0,0.575,10
219,0.22,0.717,151040.0,0.598,0.0,5.0,0.122,-5.613,0.0,0.0809,153.905,4.0,0.496,8
220,0.626,0.609,248407.0,0.438,0.00011,6.0,0.103,-8.486,0.0,0.0311,139.875,4.0,0.176,6
221,0.0231,0.903,169482.0,0.576,0.0,1.0,0.0971,-8.878,1.0,0.426,85.038,4.0,0.455,11
222,0.0141,0.392,210682.0,0.579,4.87e-05,0.0,0.101,-5.284,0.0,0.0354,143.664,4.0,0.253,8
223,0.191,0.511,170055.0,0.54,0.0,8.0,0.377,-6.402,0.0,0.174,119.248,5.0,0.711,2
224,0.0167,0.732,227200.0,0.708,0.0,10.0,0.0528,-6.775,0.0,0.0593,149.988,4.0,0.883,2
225,0.0418,0.886,147260.0,0.646,0.0,7.0,0.16,-7.214,0.0,0.189,98.03,4.0,0.867,2
226,0.397,0.847,148653.0,0.742,0.0,8.0,0.135,-5.515,0.0,0.247,133.989,4.0,0.56,2
